side,date,category,status,count,source_url,source_label
Ukraine,2024-12-09,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/XJGZ8kP3/2015-M2-A2-Bradley-ODS-SA-dam-aband-09-12-24.jpg,"27, damaged and abandoned"
Ukraine,2024-12-14,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/XYyG3SPq/2024-M2-A2-Bradley-ODS-SA-dam-aband-14-12-24.jpg,"28, damaged and abandoned"
Ukraine,2024-11-30,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/wjpFMz0T/2021-M2-A2-Bradley-ODS-SA-dam-aband-30-11-24.jpg,"29, damaged and abandoned"
Ukraine,2024-11-30,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/pLJCnS6Q/2022-M2-A2-Bradley-ODS-SA-dam-aband-30-11-24.jpg,"30, damaged and abandoned"
Ukraine,2024-12-18,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/wBgsyK74/2013-M2-A2-Bradley-ODS-SA-dam-aband-18-12-24.jpg,"31, damaged and abandoned"
Ukraine,2024-12-19,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/T31wZV01/2019-M2-A2-Bradley-ODS-SA-dam-aband-19-12-24.jpg,"32, damaged and abandoned"
Ukraine,2024-11-12,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/c4XC99QP/2029-M2-A2-Bradley-ODS-SA-dam-aband-12-11-24.jpg,"33, damaged and abandoned"
Ukraine,2025-01-10,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/s2Z223tR/2035-M2-A2-Bradley-ODS-SA-dam-aband-10-01-25.jpg,"34, damaged and abandoned"
Ukraine,2024-12-22,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/Z5fZ8P4X/2024-M2-A2-Bradley-ODS-SA-aband-22-12-24.jpg,"35, abandoned"
Ukraine,2025-01-04,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/W4hVXD4z/2025-M2-A2-Bradley-ODS-SA-aband-04-01-25.jpg,"36, abandoned"
Ukraine,2025-01-21,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/wBZpP6tV/2063-M2-A2-Bradley-ODS-SA-aband-21-01-25.jpg,"37, abandoned"
Ukraine,2025-01-15,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/CxMSnrTj/2033-M2-A2-Bradley-ODS-SA-dam-aband-15-01-25.jpg,"38, damaged and abandoned"
Ukraine,2025-01-31,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/BZ5zSpJC/2010-M2-A2-Bradley-ODS-SA-aband-31-01-25.jpg,"39, abandoned"
Ukraine,2025-01-27,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/yYKCKwb7/2015-M2-A2-Bradley-ODS-SA-aband-27-01-25.jpg,"40, abandoned"
Ukraine,2025-03-11,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/FH3Z4jDj/2019-M2-A2-Bradley-ODS-SA-aband-11-03-25.jpg,"41, abandoned"
Ukraine,2025-02-06,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/zGvNSYkR/2050-M2-A2-Bradley-ODS-SA-aband-06-02-25.jpg,"42, abandoned"
Ukraine,2025-03-26,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/bN38tw1h/2057-M2-A2-Bradley-ODS-SA-aband-26-03-25.jpg,"43, abandoned"
Ukraine,2025-05-07,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/cCcxChmf/2024-M2-A2-Bradley-ODS-SA-dam-aband-07-05-25.jpg,"44, damaged and abandoned"
Ukraine,2025-05-09,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/XvdhkX5Y/2005-M2-A2-Bradley-ODS-SA-dam-aband-09-05-25.jpg,"45, damaged and abandoned"
Ukraine,2025-05-09,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/qRG5WYjf/2004-M2-A2-Bradley-ODS-SA-dam-aband-09-05-25.jpg,"46, damaged and abandoned"
Ukraine,2025-03-27,Infantry Fighting Vehicles,abandoned,1,https://i.postimg.cc/MTn2GrF9/2015-M2-A2-Bradley-ODS-SA-aband-27-03-25.jpg,"47, abandoned"
Ukraine,2025-05-07,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/zvNM7fL0/2011-M2-A2-Bradley-ODS-SA-dam-aband-07-05-25.jpg,"48, damaged and abandoned"
Ukraine,2025-10-01,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/ZqPXqV2w/2023-M2A2-Bradley-ODS-SA-dam-aband-01-10-25.jpg,"49, damaged and abandoned"
Ukraine,2025-10-01,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/G2cVTvnk/2024-M2A2-Bradley-ODS-SA-dam-aband-01-10-25.jpg,"50, damaged and abandoned"
Ukraine,2025-02-05,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/2j2d9dnb/2022-M2A2-Bradley-ODS-SA-dam-aband-05-02-25.jpg,"51, damaged and abandoned"
Ukraine,2023-11-22,Infantry Fighting Vehicles,captured,1,https://i.postimg.cc/L839gqyv/2007-bradley-capt-22-11-23.jpg,"1, captured"
Ukraine,2024-02-20,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/tgDjtfFg/2020-bradley-dam-capt-20-02-24.jpg,"2, damaged and captured"
Ukraine,2024-03-30,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/nr3258gR/2005-bradley-dam-capt-30-03-24.jpg,"3, damaged and captured"
Ukraine,2024-04-08,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/1XGfd4Kt/2100-M2-A2-Bradley-ODS-SA-dam-capt-08-04-24.jpg,"4, damaged and captured"
Ukraine,2024-10-22,Infantry Fighting Vehicles,captured,1,https://i.postimg.cc/ncCmrSgz/2600-M2-A2-Bradley-ODS-SA-capt-22-10-24.jpg,"5, captured"
Ukraine,2024-09-09,Infantry Fighting Vehicles,captured,1,https://i.postimg.cc/PrW2WHNF/2101-M2-A2-Bradley-ODS-SA-capt-09-09-24.jpg,"6, captured"
Ukraine,2024-08-31,Infantry Fighting Vehicles,captured,1,https://i.postimg.cc/Qd2BXq0N/2032-M2-A2-Bradley-ODS-SA-capt-31-08-24.jpg,"7, captured"
Ukraine,2025-01-31,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/HxcFL5wc/2023-M2-A2-Bradley-ODS-SA-dam-capt-31-01-25.jpg,"8, damaged and captured"
Ukraine,2024-11-12,Infantry Fighting Vehicles,captured,1,https://i.postimg.cc/jq1Qn81H/2088-M2-A2-Bradley-ODS-SA-capt-12-11-24.jpg,"9, captured"
